split1,split2
"Akron","Akron"
"Aksa_Martyrs_Brigades","Aksa_Martyrs_Brigades"
"al-Aksa_Martyrs_Brigades","al-Aksa_Martyrs_Brigades"
"Martyrs_of_al-Aqsa","Martyrs_of_al-Aqsa"
"Akwa'ala","Akwa'ala"
"Akwa'ala","Akwa'ala"
"Al-hakim","Al-hakim"
"Al_Aqabah","Al_Aqabah"
"Aqaba","Aqaba"
"Akaba","Akaba"
"Al_Ladhiqiyah","Al_Ladhiqiyah"
"Latakia","Latakia"
"Al_Nathir","Al_Nathir"
"Alabama","Alabama"
"Heart_of_Dixie","Heart_of_Dixie"
"Camellia_State","Camellia_State"
"AL","AL"
"Alabama","Alabama"
"Alabama","Alabama"
"Alabama_River","Alabama_River"
"Alabama","Alabama"
"Alabaman","Alabaman"
"Alabamian","Alabamian"
"Aladdin","Aladdin"
"Aladdin's_lamp","Aladdin's_lamp"
"Alamo","Alamo"
"Aland_islands","Aland_islands"
"Aaland_islands","Aaland_islands"
"Ahvenanmaa","Ahvenanmaa"
"Alar","Alar"
"daminozide","daminozide"
"Alaric","Alaric"
"Alaska","Alaska"
"Last_Frontier","Last_Frontier"
"AK","AK"
"Alaska_Native","Alaska_Native"
"Alaskan_Native","Alaskan_Native"
"Native_Alaskan","Native_Alaskan"
"Alaska_Peninsula","Alaska_Peninsula"
"Alaska_Range","Alaska_Range"
"Alaska_Standard_Time","Alaska_Standard_Time"
"Yukon_Time","Yukon_Time"
"Alaska_fur_seal","Alaska_fur_seal"
"Callorhinus_ursinus","Callorhinus_ursinus"
"Alaska_king_crab","Alaska_king_crab"
"Alaskan_king_crab","Alaskan_king_crab"
"king_crab","king_crab"
"Alaska_crab","Alaska_crab"
"king_crab","king_crab"
"Alaska_crab","Alaska_crab"
"Alaskan_king_crab","Alaskan_king_crab"
